insee;telephone
9157298756;071242076
8396704928;070179993
4484422224;062747883
abcdefghij;12345
9453106948;074699458
0648233324;071679558
6236713758;078424696
3902500129;064688660
9999999999;12345
6152448561;065626975
8267679677;062304096
9379604237;067875369
;0999999999
;12345
0725236336;071222768
9999999999;12345
0281980019;061113942
7761369410;071539092
abcdefghij;0999999999
2443438970;068415735
9999999999;0999999999
3788606873;062612210
8876774502;074256122
5292163274;066359661
9449569478;065704324
6314020020;073294981
6813245421;072556842
4499656645;074337512
5050085270;073199529
5532943005;071954143
6888550253;070906264
0383602243;060179626
1598845745;078402025
6312617085;066925451
5953009872;064273297
2861922424;073419126
2791815331;064951743
2056912084;064959376
4582336465;074424474
1294921758;060129051
6223151875;068835432
abcdefghij;12345
8180608487;070992882
1742097919;072182590
3399277274;077334487
6048697032;073852450
7255657327;074697414
123456;
1130977552;068276752
6815060790;073829669
1367475488;074773875
3906720423;061348440
3047208366;071521615
0770261471;073218160
8253085935;061857638
7729918819;071541249
8995355147;073225176
8298556184;072684637
6324585123;062603887
7380389711;071366688
4902729541;077271629
abcdefghij;0999999999
4361715021;073847930
6435751541;075335061
6858759428;067365522
123456;12345
4321605206;061536423
8501370281;077534228
9109263377;070756976
0723347160;073108268
4502591701;076296933
0279156467;072837091
8346190472;067601810
3007074688;063818848
123456;
6179123580;072627676
2761748543;068685019
6770297336;061361853
abcdefghij;0999999999
;
2877016872;071589462
5019880432;060163729
abcdefghij;12345
4456568245;074411621
5690910229;078952447
4299668742;061284574
0620483685;079971293
1278003267;064772697
9186970254;064649930
6737513310;072446669
1022424802;062256942
abcdefghij;abcdefghij
6457083804;061207216
1750540032;067585316
123456;0999999999
8766970773;060593699
3995671501;066798385
123456;
5843342585;067597528
7107599735;073163367
